"TipoNome","CategoriaNome","MaterialNome","CorNome","GenNome","TamNome","SapatosID","PrecoBase","PrecoFinal"
Anabela,Casual & Conforto,Camurça,Azul,Feminino,40,1,100,125
Anabela,Casual & Conforto,Tecido,Azul,Feminino,40,2,100,120
Anabela,Casual & Conforto,Sintético,Azul,Feminino,40,3,100,115
Anabela,Casual & Conforto,Camurça,Azul,Feminino,39,4,100,125
Anabela,Casual & Conforto,Tecido,Azul,Feminino,39,5,100,120
Anabela,Casual & Conforto,Sintético,Azul,Feminino,39,6,100,115
Anabela,Casual & Conforto,Camurça,Azul,Feminino,38,7,100,125
Anabela,Casual & Conforto,Tecido,Azul,Feminino,38,8,100,120
Anabela,Casual & Conforto,Sintético,Azul,Feminino,38,9,100,115
Anabela,Casual & Conforto,Camurça,Azul,Feminino,37,10,100,125
Anabela,Casual & Conforto,Tecido,Azul,Feminino,37,11,100,120
Anabela,Casual & Conforto,Sintético,Azul,Feminino,37,12,100,115
Anabela,Casual & Conforto,Camurça,Azul,Feminino,36,13,100,125
Anabela,Casual & Conforto,Tecido,Azul,Feminino,36,14,100,120
Anabela,Casual & Conforto,Sintético,Azul,Feminino,36,15,100,115
Anabela,Casual & Conforto,Camurça,Azul,Feminino,35,16,100,125
Anabela,Casual & Conforto,Tecido,Azul,Feminino,35,17,100,120
Anabela,Casual & Conforto,Sintético,Azul,Feminino,35,18,100,115
Anabela,Casual & Conforto,Camurça,Azul Marinho,Feminino,40,19,100,125
Anabela,Casual & Conforto,Tecido,Azul Marinho,Feminino,40,20,100,120
Anabela,Casual & Conforto,Sintético,Azul Marinho,Feminino,40,21,100,115
Anabela,Casual & Conforto,Camurça,Azul Marinho,Feminino,39,22,100,125
Anabela,Casual & Conforto,Tecido,Azul Marinho,Feminino,39,23,100,120
Anabela,Casual & Conforto,Sintético,Azul Marinho,Feminino,39,24,100,115
Anabela,Casual & Conforto,Camurça,Azul Marinho,Feminino,38,25,100,125
Anabela,Casual & Conforto,Tecido,Azul Marinho,Feminino,38,26,100,120
Anabela,Casual & Conforto,Sintético,Azul Marinho,Feminino,38,27,100,115
Anabela,Casual & Conforto,Camurça,Azul Marinho,Feminino,37,28,100,125
Anabela,Casual & Conforto,Tecido,Azul Marinho,Feminino,37,29,100,120
Anabela,Casual & Conforto,Sintético,Azul Marinho,Feminino,37,30,100,115
Anabela,Casual & Conforto,Camurça,Azul Marinho,Feminino,36,31,100,125
Anabela,Casual & Conforto,Tecido,Azul Marinho,Feminino,36,32,100,120
Anabela,Moda,Camurça,Preto,Feminino,39,33,100,125
